Slice	Count	Total Area	Average Size	%Area	Mean	Circ.	Solidity
188	1	162903	162903	40.021	255	0.215	0.848
189	1	163310	163310	40.121	255	0.221	0.847
190	1	165703	165703	40.709	255	0.238	0.854
191	1	164727	164727	40.469	255	0.244	0.853
192	1	166232	166232	40.839	255	0.238	0.851
193	1	165957	165957	40.772	255	0.236	0.852
194	1	165768	165768	40.725	255	0.240	0.853
195	1	165662	165662	40.699	255	0.241	0.851
196	1	164953	164953	40.525	255	0.263	0.868
197	1	164852	164852	40.500	255	0.251	0.862
198	1	165095	165095	40.560	255	0.242	0.857
199	1	165362	165362	40.625	255	0.257	0.870
200	1	165479	165479	40.654	255	0.247	0.863
201	1	165134	165134	40.569	255	0.250	0.861
202	1	164715	164715	40.467	255	0.269	0.872
203	1	163978	163978	40.285	255	0.275	0.873
204	1	163758	163758	40.231	255	0.277	0.875
205	1	162732	162732	39.979	255	0.278	0.878
206	1	162502	162502	39.923	255	0.277	0.870
207	1	161957	161957	39.789	255	0.272	0.868
208	1	161129	161129	39.586	255	0.268	0.866
209	1	161973	161973	39.793	255	0.291	0.866
210	1	158020	158020	38.822	255	0.281	0.864
211	1	158973	158973	39.056	255	0.313	0.865
212	1	156869	156869	38.539	255	0.284	0.865
213	1	155931	155931	38.309	255	0.308	0.871
214	1	155794	155794	38.275	255	0.314	0.877
215	1	154337	154337	37.917	255	0.306	0.876
216	1	153117	153117	37.617	255	0.318	0.876
217	1	153192	153192	37.636	255	0.296	0.863
218	1	153007	153007	37.590	255	0.326	0.880
219	1	152146	152146	37.379	255	0.331	0.890
220	1	152886	152886	37.560	255	0.313	0.873
221	1	152867	152867	37.556	255	0.326	0.886
222	1	152787	152787	37.536	255	0.336	0.892
223	1	153088	153088	37.610	255	0.304	0.877
224	1	154510	154510	37.959	255	0.317	0.883
225	1	154256	154256	37.897	255	0.305	0.893
226	1	154919	154919	38.060	255	0.301	0.894
227	1	155711	155711	38.254	255	0.302	0.890
228	1	156946	156946	38.558	255	0.285	0.885
229	1	157552	157552	38.707	255	0.299	0.887
230	1	158732	158732	38.997	255	0.276	0.887
231	1	159805	159805	39.260	255	0.291	0.886
232	1	160363	160363	39.397	255	0.280	0.884
233	1	160814	160814	39.508	255	0.292	0.883
234	1	162050	162050	39.812	255	0.278	0.880
235	1	162796	162796	39.995	255	0.281	0.881
236	1	164396	164396	40.388	255	0.278	0.880
237	1	165324	165324	40.616	255	0.268	0.875
